postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
BS162ES,BS16 2ES,BS,4.320151230955794,5.303304908059076,3.068052935133617,2.163323025660538,3.044522437723423,0.6931471805599453,5.6131281063880705,2.4849066497880004,2.4849066497880004,Bristol 013A,"Bristol, City of"
BS162EU,BS16 2EU,BS,4.492001487882454,5.303304908059076,2.0794415416798357,2.2192034840549946,3.044522437723423,0.5877866649021191,5.68697535633982,3.1354942159291497,3.1354942159291497,Bristol 013A,"Bristol, City of"
BS162EX,BS16 2EX,BS,4.3067641501733345,5.303304908059076,2.6461747973841225,2.272125885509337,3.044522437723423,0.4054651081081644,5.43372200355424,2.9444389791664403,2.9444389791664403,Bristol 013A,"Bristol, City of"
BS162EY,BS16 2EY,BS,4.617098756853365,5.303304908059076,3.044522437723423,2.3978952727983707,3.044522437723423,0.7419373447293773,5.8916442118257715,2.70805020110221,2.70805020110221,Bristol 013A,"Bristol, City of"
BS162EZ,BS16 2EZ,BS,4.335982696172475,5.303304908059076,2.772588722239781,1.916922612182061,2.740840023925201,0.5877866649021191,5.541263545158426,3.044522437723423,3.044522437723423,Bristol 013A,"Bristol, City of"
BS162FD,BS16 2FD,BS,3.332204510175204,4.268297869345539,1.5686159179138452,1.9740810260220096,3.044522437723423,0.4054651081081644,6.077642243349034,2.9444389791664403,2.9444389791664403,Bristol 012A,"Bristol, City of"
BS162FE,BS16 2FE,BS,2.8273136219290276,3.100092288878234,2.501435951739211,0.6931471805599453,0.8329091229351039,0.5877866649021191,5.648974238161206,1.9459101490553132,1.9459101490553132,Bristol 013B,"Bristol, City of"
BS162FF,BS16 2FF,BS,3.261935314328648,3.713572066704308,2.4765384001174837,1.589235205116581,2.3978952727983707,0.6931471805599453,6.184148890937483,2.0794415416798357,2.0794415416798357,Bristol 013B,"Bristol, City of"
BS162FG,BS16 2FG,BS,4.065602093356446,5.303304908059076,2.8154087194227095,1.7404661748405046,2.5649493574615367,0.7419373447293773,5.988961416889864,1.9459101490553132,1.9459101490553132,Bristol 019A,"Bristol, City of"
BS162FJ,BS16 2FJ,BS,4.557029810660157,5.303304908059076,3.9318256327243257,1.8718021769015913,2.5649493574615367,1.3862943611198906,5.2574953720277815,3.1780538303479458,3.1780538303479458,Bristol 013C,"Bristol, City of"
BS162FL,BS16 2FL,BS,4.330733340286331,5.303304908059076,3.9318256327243257,1.7047480922384253,2.5649493574615367,1.3862943611198906,5.170483995038151,2.4849066497880004,2.4849066497880004,Bristol 013C,"Bristol, City of"
BS162FP,BS16 2FP,BS,4.8782461060505105,5.303304908059076,4.61512051684126,2.163323025660538,2.5649493574615367,1.9459101490553132,5.730099782973574,2.302585092994046,2.302585092994046,Bristol 013C,"Bristol, City of"
BS162FR,BS16 2FR,BS,4.721173861744398,5.303304908059076,3.9318256327243257,2.028148247292285,2.5649493574615367,1.3862943611198906,5.564520407322694,1.791759469228055,1.791759469228055,Bristol 013C,"Bristol, City of"
BS162FS,BS16 2FS,BS,4.789988622980633,5.303304908059076,3.9318256327243257,2.0794415416798357,2.5649493574615367,1.3862943611198906,5.429345628954441,3.8501476017100584,3.8501476017100584,Bristol 013C,"Bristol, City of"
BS162FW,BS16 2FW,BS,4.722063937459591,5.303304908059076,4.61512051684126,2.0014800002101243,2.5649493574615367,1.9459101490553132,5.303304908059076,3.4339872044851463,3.4339872044851463,Bristol 013C,"Bristol, City of"
BS162HA,BS16 2HA,BS,4.027135812528651,5.303304908059076,2.5257286443082556,1.6094379124341003,2.5649493574615367,0.5877866649021191,5.198497031265826,3.4339872044851463,3.4339872044851463,Bristol 013A,"Bristol, City of"
BS162HB,BS16 2HB,BS,4.2626798770413155,5.303304908059076,3.0252910757955354,1.6863989535702288,2.5649493574615367,0.6931471805599453,5.4116460518550396,3.367295829986474,3.367295829986474,Bristol 013A,"Bristol, City of"
BS162HE,BS16 2HE,BS,3.1822118404966093,4.122283930911342,2.3978952727983707,1.4816045409242156,2.8154087194227095,0.5877866649021191,6.342121418721152,2.4849066497880004,2.4849066497880004,Bristol 013B,"Bristol, City of"
BS162HF,BS16 2HF,BS,4.212127597878484,5.303304908059076,2.72785282839839,1.7749523509116738,2.5649493574615367,0.6931471805599453,5.552959584921617,3.8918202981106265,3.8918202981106265,Bristol 013A,"Bristol, City of"
BS162HH,BS16 2HH,BS,4.280824129164719,5.303304908059076,2.2082744135228043,2.0149030205422647,3.044522437723423,0.3364722366212129,5.214935757608986,3.5553480614894135,3.5553480614894135,Bristol 013C,"Bristol, City of"
BS162HJ,BS16 2HJ,BS,4.594109238628667,5.303304908059076,2.4423470353692043,2.1400661634962708,3.044522437723423,0.47000362924573563,5.733341276897746,3.784189633918261,3.784189633918261,Bristol 013C,"Bristol, City of"
BS162HL,BS16 2HL,BS,4.377014092850337,5.303304908059076,2.9652730660692823,2.163323025660538,3.044522437723423,0.6418538861723947,4.820281565605037,2.772588722239781,2.772588722239781,Bristol 013C,"Bristol, City of"
BS162HN,BS16 2HN,BS,4.198704577546343,5.303304908059076,2.451005098112319,1.8718021769015913,3.044522437723423,0.6418538861723947,5.176149732573829,3.4657359027997265,3.4657359027997265,Bristol 013C,"Bristol, City of"
BS162HP,BS16 2HP,BS,4.546481189639412,5.303304908059076,2.72785282839839,2.0014800002101243,2.5649493574615367,0.6931471805599453,5.5134287461649825,3.295836866004329,3.295836866004329,Bristol 013A,"Bristol, City of"
BS162HQ,BS16 2HQ,BS,4.188138441508461,5.303304908059076,2.681021528714291,1.7047480922384253,2.5649493574615367,0.5877866649021191,5.123963979403259,3.4339872044851463,3.4339872044851463,Bristol 013C,"Bristol, City of"
BS162HS,BS16 2HS,BS,4.537961436294641,5.303304908059076,2.6026896854443837,2.174751721484161,3.044522437723423,0.5306282510621704,5.855071922202427,3.4965075614664802,3.4965075614664802,Bristol 013A,"Bristol, City of"
BS162HT,BS16 2HT,BS,4.37449836825309,5.303304908059076,2.8154087194227095,1.9600947840472698,3.044522437723423,0.6418538861723947,5.963579343618446,3.2188758248682006,3.2188758248682006,Bristol 013A,"Bristol, City of"
BS162HU,BS16 2HU,BS,4.8496837630384935,5.303304908059076,2.797281334830153,2.2300144001592104,3.044522437723423,0.5877866649021191,5.978885764901122,2.4849066497880004,2.4849066497880004,Bristol 013A,"Bristol, City of"
BS162HW,BS16 2HW,BS,4.35799005684564,5.303304908059076,2.6390573296152584,1.7227665977411035,2.5649493574615367,0.6418538861723947,5.918893854273146,2.4849066497880004,2.4849066497880004,Bristol 013C,"Bristol, City of"
BS162HX,BS16 2HX,BS,4.119037174812473,4.675628649636653,2.6946271807700692,2.501435951739211,3.044522437723423,0.6418538861723947,4.795790545596741,3.5553480614894135,3.5553480614894135,Bristol 013A,"Bristol, City of"
BS162HY,BS16 2HY,BS,4.324132656254979,5.303304908059076,3.0252910757955354,2.1041341542702074,3.044522437723423,0.6931471805599453,5.659482215759621,2.8903717578961645,2.8903717578961645,Bristol 013A,"Bristol, City of"
BS162HZ,BS16 2HZ,BS,4.35799005684564,5.303304908059076,2.8678989020441064,2.1400661634962708,3.044522437723423,0.6931471805599453,5.545177444479562,3.091042453358316,3.091042453358316,Bristol 013A,"Bristol, City of"
BS162JA,BS16 2JA,BS,4.046553898385752,4.61512051684126,3.0106208860477417,1.840549633397487,2.3978952727983707,0.7884573603642703,5.986452005284438,2.4849066497880004,2.4849066497880004,Bristol 013C,"Bristol, City of"
BS162JD,BS16 2JD,BS,3.9945242269398897,5.017279836814924,2.151762203259462,2.0412203288596382,3.044522437723423,0.47000362924573563,4.465908118654584,2.302585092994046,2.302585092994046,Bristol 013C,"Bristol, City of"
BS162JE,BS16 2JE,BS,2.1041341542702074,2.151762203259462,2.0412203288596382,0.5877866649021191,0.5877866649021191,0.5877866649021191,3.4339872044851463,2.5649493574615367,2.5649493574615367,Bristol 013A,"Bristol, City of"
BS162JF,BS16 2JF,BS,4.584967478670572,5.707110264748875,3.044522437723423,2.163323025660538,3.044522437723423,1.0986122886681098,5.480638923341991,1.9459101490553132,1.9459101490553132,Bristol 013C,"Bristol, City of"
BS162JG,BS16 2JG,BS,4.443827035579329,5.303304908059076,1.9740810260220096,2.028148247292285,3.044522437723423,0.5877866649021191,5.181783550292085,3.4011973816621555,3.4011973816621555,Bristol 012C,"Bristol, City of"
BS162JH,BS16 2JH,BS,4.582924577040772,5.303304908059076,2.9444389791664403,2.2300144001592104,3.044522437723423,0.6931471805599453,5.976350909297934,2.1972245773362196,2.1972245773362196,Bristol 012C,"Bristol, City of"
BS162JL,BS16 2JL,BS,4.275276264727001,5.303304908059076,2.5257286443082556,1.8562979903656263,3.044522437723423,0.5306282510621704,5.683579767338681,3.871201010907891,3.871201010907891,Bristol 013C,"Bristol, City of"
